epoch,acc,loss,val_acc,val_loss
0,0.5661548972129822,1.7278462648391724,0.9354335069656372,0.28906145691871643
1,0.7995208501815796,0.6832234859466553,0.9614322185516357,0.15796630084514618
2,0.8478578925132751,0.5093714594841003,0.9709843397140503,0.1146775633096695
3,0.8678446412086487,0.43633195757865906,0.97624272108078,0.09341390430927277
4,0.8818038702011108,0.390293151140213,0.9794204235076904,0.08022907376289368
5,0.8903975486755371,0.36122259497642517,0.9810944199562073,0.07398098707199097
6,0.8975757360458374,0.3363587558269501,0.9835911989212036,0.06510356813669205
7,0.9018315672874451,0.32159626483917236,0.9846315383911133,0.06009649485349655
8,0.9058793783187866,0.30925723910331726,0.9850382208824158,0.05728696286678314
9,0.9092714786529541,0.2965210974216461,0.9858798980712891,0.05496600270271301
