,precision,recall,f1-score,support
Physalis 1,0.9659400544959128,0.9902234636871509,0.9779310344827586,716.0
Physalis with Husk 1,0.982573726541555,0.9986376021798365,0.9905405405405405,734.0
Pineapple 1,0.9957386363636364,0.9985754985754985,0.9971550497866287,702.0
Pineapple Mini 1,0.9971387696709585,1.0,0.9985673352435529,697.0
Pitahaya Red 1,0.9986702127659575,0.99734395750332,0.9980066445182724,753.0
Plum 1,0.9713855421686747,0.9772727272727273,0.9743202416918428,660.0
Plum 2,0.9869494290375204,0.9789644012944984,0.9829406986190089,618.0
Plum 3,0.9811730629978277,0.9811730629978277,0.9811730629978277,1381.0
Pomegranate 1,0.9836512261580381,0.9836512261580381,0.9836512261580381,734.0
Pomelo Sweetie 1,0.9969924812030075,0.9793205317577548,0.9880774962742176,677.0
Potato Red 1,0.9726027397260274,0.9667170953101362,0.9696509863429439,661.0
Potato Red Washed 1,0.9827586206896551,0.9606741573033708,0.9715909090909091,712.0
Potato Sweet 1,0.9761904761904762,0.9820359281437125,0.9791044776119404,668.0
Potato White 1,0.9889937106918238,0.9797507788161994,0.9843505477308294,642.0
Quince 1,0.9934296977660972,0.9973614775725593,0.9953917050691243,758.0
Rambutan 1,1.0,1.0,1.0,695.0
Raspberry 1,1.0,0.9986504723346828,0.9993247805536799,741.0
Redcurrant 1,0.9838274932614556,1.0,0.9918478260869567,730.0
Salak 1,0.9944211994421199,0.9902777777777778,0.9923451635351427,720.0
Strawberry 1,0.9972337482710927,0.9931129476584022,0.9951690821256038,726.0
Strawberry Wedge 1,0.994661921708185,0.994661921708185,0.994661921708185,1124.0
Tamarillo 1,0.9858156028368794,0.9886201991465149,0.9872159090909091,703.0
Tangelo 1,0.988795518207283,0.9943661971830986,0.9915730337078652,710.0
Tomato 1,0.9910394265232975,0.9727352682497801,0.9818020417221481,1137.0
Tomato 2,0.9714847590953786,0.987012987012987,0.9791873141724479,1001.0
Tomato 3,0.9738973897389739,0.9836363636363636,0.9787426503844415,1100.0
Tomato 4,0.9852744310575636,0.989247311827957,0.9872568745808183,744.0
Tomato Cherry Red 1,0.9836734693877551,0.9917695473251029,0.9877049180327868,729.0
Tomato Heart 1,0.9712368168744008,0.9882926829268293,0.9796905222437137,1025.0
Tomato Maroon 1,0.9810671256454389,0.9743589743589743,0.9777015437392794,585.0
Tomato Yellow 1,0.9881578947368421,0.956687898089172,0.9721682847896441,785.0
Tomato not Ripened 1,0.9929971988795518,0.9929971988795518,0.9929971988795518,714.0
Walnut 1,0.9972577696526508,0.9909173478655767,0.9940774487471525,1101.0
Watermelon 1,0.9955882352941177,0.9854439592430859,0.9904901243599122,687.0
Zucchini 1,1.0,1.0,1.0,330.0
Zucchini dark 1,0.9971910112359551,1.0,0.9985935302390998,355.0
accuracy,0.9858799273662707,0.9858799273662707,0.9858799273662707,0.9858799273662707
macro avg,0.9864864999089221,0.986191878265561,0.9862898241744799,105736.0
weighted avg,0.9859859592683148,0.9858799273662707,0.9858828903792902,105736.0
