epoch,acc,loss,val_acc,val_loss
0,0.9311560392379761,0.326591819524765,0.988471269607544,0.04578147456049919
1,0.9818921089172363,0.07151838392019272,0.99200838804245,0.029802286997437477
2,0.9854008555412292,0.05460227653384209,0.9932284355163574,0.02605944685637951
3,0.9873743057250977,0.04656348377466202,0.9934175610542297,0.024182850494980812
4,0.9886541962623596,0.04112735763192177,0.9939377307891846,0.022134944796562195
5,0.9897828102111816,0.037220548838377,0.9942687153816223,0.021325454115867615
6,0.9903060793876648,0.034493595361709595,0.9950348138809204,0.01807139255106449
7,0.9911667108535767,0.031707145273685455,0.9957062602043152,0.016135504469275475
8,0.991541862487793,0.03011721931397915,0.9952239394187927,0.018007496371865273
9,0.9918098449707031,0.029142240062355995,0.9950631856918335,0.01940748281776905
