epoch,acc,loss,val_acc,val_loss
0,0.9097695350646973,0.4067918062210083,0.9832791090011597,0.06987697631120682
1,0.9840421080589294,0.061371736228466034,0.9884051084518433,0.04277900233864784
2,0.9900066256523132,0.036853399127721786,0.9916395545005798,0.029233450070023537
3,0.9927020072937012,0.026088060811161995,0.9932945966720581,0.023096011951565742
4,0.9943854212760925,0.019868267700076103,0.9937107563018799,0.022218450903892517
5,0.9954383373260498,0.015765417367219925,0.9935216307640076,0.021896135061979294
6,0.9962926506996155,0.01312027033418417,0.9945051670074463,0.0184622872620821
7,0.9967403411865234,0.010917090810835361,0.9949023723602295,0.017203081399202347
8,0.9971785545349121,0.009620835073292255,0.9942025542259216,0.020190313458442688
9,0.9972541928291321,0.009045200422406197,0.995309054851532,0.01633826643228531
